,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7
Seg_size,8949.0,4541.0,1052.0,3356.0,3898.0,364.0,3448.0,1239.0,855.0,1503.0,314.0,3028.0,3249.0,3247.0,1504.0,861.0,315.0,3015.0,7.0,2298.0,822.0,2945.0,1437.0,103.0,1338.0,6.0
Seg_Pct,1.0,0.51,0.12,0.38,0.44,0.04,0.39,0.14,0.1,0.17,0.04,0.34,0.36,0.36,0.17,0.1,0.04,0.34,0.0,0.26,0.09,0.33,0.16,0.01,0.15,0.0
Installment_Purchases,0.25,0.44,0.02,0.07,0.18,0.02,0.42,0.09,0.09,0.38,0.03,0.12,0.38,0.38,0.38,0.09,0.03,0.12,0.57,0.6,0.09,0.1,0.35,0.04,0.0,0.67
None_Of_the_Purchases,0.23,0.03,0.0,0.57,0.37,0.0,0.0,0.49,0.44,0.18,0.0,0.46,0.0,0.0,0.18,0.43,0.0,0.46,0.43,0.0,0.44,0.48,0.19,0.0,0.0,0.33
One_Of_Purchase,0.21,0.21,0.07,0.25,0.34,0.08,0.08,0.21,0.21,0.31,0.08,0.3,0.08,0.09,0.32,0.21,0.08,0.3,0.0,0.0,0.21,0.31,0.33,0.08,0.24,0.0
BALANCE,1564.65,669.72,2427.5,2505.1,1203.98,3298.33,1005.39,3746.37,3998.16,131.88,3412.73,1926.43,1071.28,1071.35,132.21,4009.75,3402.7,1923.8,1.8,944.44,4007.07,1941.74,132.1,4090.18,1650.49,2.1
BALANCE_FREQUENCY,0.88,0.8,0.98,0.94,0.79,0.99,0.93,0.96,0.96,0.42,0.99,0.98,0.97,0.97,0.42,0.96,0.99,0.98,0.28,0.95,0.96,0.98,0.41,0.98,0.98,0.29
PURCHASES,1003.32,718.59,4725.46,221.81,288.41,8175.53,1260.7,429.1,547.99,351.38,8782.26,257.37,1368.14,1368.27,350.58,546.85,8764.76,256.69,425.32,923.77,522.47,242.39,336.35,14516.76,2788.5,496.21
ONEOFF_PURCHASES,592.5,330.44,3088.05,164.82,227.58,5473.47,601.48,281.65,353.7,215.1,5895.26,206.38,677.3,677.68,215.64,352.14,5881.12,206.24,0.0,175.75,333.91,199.49,219.6,9530.26,2047.3,0.0
INSTALLMENTS_PURCHASES,411.11,388.49,1637.98,57.14,61.03,2703.71,659.57,147.54,194.33,136.47,2888.91,51.27,691.11,690.86,135.14,194.76,2885.54,50.73,425.32,748.67,188.61,43.19,116.95,4986.5,741.2,496.21
CASH_ADVANCE,978.96,162.32,692.82,2173.65,611.75,569.78,245.59,4295.34,5114.48,347.34,593.31,933.98,262.05,261.21,345.34,5098.52,591.42,933.37,417.32,272.24,5184.98,953.51,359.66,961.77,333.48,480.27
PURCHASES_FREQUENCY,0.49,0.63,0.95,0.15,0.17,0.95,0.88,0.26,0.31,0.28,0.95,0.16,0.9,0.9,0.28,0.31,0.95,0.16,0.48,0.88,0.29,0.15,0.26,0.93,0.91,0.56
ONEOFF_PURCHASES_FREQUENCY,0.2,0.17,0.71,0.08,0.09,0.76,0.29,0.13,0.16,0.08,0.76,0.09,0.32,0.32,0.08,0.16,0.76,0.09,0.0,0.08,0.15,0.09,0.08,0.75,0.77,0.0
PURCHASES_INSTALLMENTS_FREQUENCY,0.36,0.49,0.76,0.07,0.08,0.79,0.72,0.16,0.2,0.19,0.79,0.07,0.72,0.72,0.19,0.2,0.79,0.07,0.48,0.82,0.19,0.06,0.17,0.8,0.53,0.56
