CUSTOMER_NUM,Installment_Purchases,None_Of_the_Purchases,One_Of_Purchase,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Monthly_Avg_Purchase,Monthly_Avg_Cash,Limit_Usage,Pay_to_MinimumPay,Age_Group,Balance_Group,Payment_Group,Gender,Marital_Status,Occupation_Group
3994785,0,0,1,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,627.284787,0.0,12,64.43083333333333,0.0,0.3326865149333333,0.9916815374640991,26-35,$2000-$2999,$500-$999,Female,Married,Unemployed
4088879,1,0,0,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,2407.246035,0.0,12,111.10666666666668,0.0,1.005460417222222,0.5816014439919931,18-25,$1000-$1999,$1000-$1999,Male,Single,Employed
4082996,1,0,0,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,532.03399,0.0,12,36.35,0.0,0.7928924969565218,1.2763565763909182,26-35,$1000-$1999,$500-$999,Female,Married,Employed
4116109,1,0,0,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,2172.697765,0.0,12,76.67666666666666,0.0,1.0776041158333334,0.4985971930615025,46-55,$1000-$1999,$1000-$1999,Male,Married,Retired
4102976,0,0,0,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,490.207013,0.25,12,268.1658333333333,0.0,0.5056428733333334,1.2408302469552797,18-25,$1000-$1999,$500-$999,Female,Married,Unemployed
4102585,0,0,0,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,251.137986,0.083333,12,178.16083333333333,0.0,0.1228924491999999,6.593552259354345,56+,$500-$999,$1000-$1999,Female,Married,Retired
4104431,0,0,0,1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,744.613395,0.0,12,42.02916666666667,0.0,0.153005556,2.311048101679664,26-35,$1000-$1999,$1000-$1999,Male,Married,Student
4105188,1,0,0,3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,12465.54938,0.0,12,33.22,0.0,0.89449273325,0.0845514651517107,36-45,$3000+,$1000-$1999,Female,Married,Student
4111799,1,0,0,132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,86.329554,0.0,12,67.99166666666666,0.0,0.0735234666666666,27.332817658249457,18-25,$0-$499,$2000+,Female,Married,Employed
4112653,1,0,0,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,33.300000000000004,0.0,0.056593893,1.3208517163490692,26-35,$0-$499,$200-$499,Male,Married,Employed
